Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Shrooms,Nicotine,VSA,use_Alcohol,use_Amphet,use_Amyl,use_Benzos,use_Caff,use_Cannabis,use_Choc,use_Coke,use_Crack,use_Ecstasy,use_Heroin,use_Ketamine,use_Legalh,use_LSD,use_Meth,use_Shrooms,use_Nicotine,use_VSA,hard_usage,soft_usage,drug_usage
25-34,Female,University degree,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987000000000001,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,"Some college or university, no certificate or degree",24.0,40.0,47.0,30.0,38.0,0.52975,1.2247,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
55-64,Female,University degree,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987000000000001,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1
55-64,Female,Professional certificate/ diploma,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.8463700000000001,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55-64,Female,Professional certificate/ diploma,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
55-64,Male,University degree,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Female,"Some college or university, no certificate or degree",22.0,34.0,34.0,45.0,47.0,-0.21711999999999998,-2.07848,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
45-54,Male,Left school at 16 years ,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.8463700000000001,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
55-64,Male,University degree,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
35-44,Male,Professional certificate/ diploma,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1
45-54,Male,Professional certificate/ diploma,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
65+,Male,Left school before 16 years,25.0,43.0,38.0,39.0,53.0,-0.21711999999999998,-1.18084,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,University degree,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987000000000001,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Left school at 16 years ,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.5485799999999998,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1
55-64,Male,University degree,34.0,44.0,54.0,48.0,51.0,-0.21711999999999998,-0.52593,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
45-54,Male,"Some college or university, no certificate or degree",28.0,37.0,37.0,49.0,42.0,-0.21711999999999998,0.40148,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1
55-64,Female,Left school at 18 years ,35.0,28.0,24.0,38.0,46.0,0.19268,-1.5485799999999998,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,University degree,41.0,31.0,46.0,43.0,25.0,1.8620299999999999,0.40148,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1
35-44,Female,Masters degree,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Doctorate degree,24.0,51.0,52.0,49.0,53.0,-0.21711999999999998,-0.52593,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Left school at 16 years ,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987000000000001,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Female,Left school at 16 years ,25.0,34.0,47.0,39.0,42.0,-1.37983,-0.8463700000000001,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Male,University degree,28.0,31.0,46.0,46.0,42.0,0.19268,-0.8463700000000001,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
18-24,Male,University degree,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.5485799999999998,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Male,University degree,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
65+,Male,Left school before 16 years,33.0,34.0,28.0,41.0,36.0,0.52975,-1.5485799999999998,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,University degree,33.0,36.0,45.0,43.0,30.0,-0.21711999999999998,-0.21575,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55-64,Male,Left school before 16 years,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
45-54,Male,University degree,22.0,48.0,48.0,43.0,47.0,-0.21711999999999998,-0.8463700000000001,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
65+,Female,Professional certificate/ diploma,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1
35-44,Male,Masters degree,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987000000000001,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Female,University degree,44.0,40.0,53.0,54.0,39.0,-0.21711999999999998,-0.21575,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Male,Masters degree,34.0,33.0,37.0,43.0,37.0,-0.21711999999999998,-0.52593,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
35-44,Male,Professional certificate/ diploma,27.0,36.0,44.0,42.0,34.0,-0.21711999999999998,-0.21575,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1
25-34,Male,University degree,26.0,49.0,49.0,51.0,48.0,-0.21711999999999998,0.07987000000000001,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Female,University degree,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Female,"Some college or university, no certificate or degree",39.0,44.0,38.0,45.0,51.0,-0.71126,-0.8463700000000001,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Masters degree,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Left school at 16 years ,37.0,34.0,44.0,42.0,37.0,0.19268,-0.8463700000000001,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1
25-34,Female,Masters degree,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,Masters degree,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.8463700000000001,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1
45-54,Male,Professional certificate/ diploma,47.0,46.0,42.0,37.0,27.0,1.8620299999999999,1.92173,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55-64,Female,University degree,34.0,40.0,36.0,45.0,36.0,0.52975,-1.5485799999999998,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Masters degree,23.0,39.0,53.0,45.0,44.0,-0.21711999999999998,-0.21575,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55-64,Male,Left school at 16 years ,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1
55-64,Female,Professional certificate/ diploma,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35-44,Female,"Some college or university, no certificate or degree",36.0,40.0,34.0,43.0,44.0,-1.37983,-1.5485799999999998,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Female,University degree,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Left school at 18 years ,38.0,44.0,46.0,40.0,39.0,1.8620299999999999,1.2247,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1
45-54,Male,University degree,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.5485799999999998,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Female,Doctorate degree,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987000000000001,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
45-54,Male,Masters degree,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Male,University degree,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
45-54,Male,University degree,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Doctorate degree,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
35-44,Male,"Some college or university, no certificate or degree",43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
45-54,Male,Left school at 16 years ,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Male,Masters degree,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,Professional certificate/ diploma,27.0,40.0,48.0,42.0,40.0,-0.21711999999999998,0.07987000000000001,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
45-54,Female,Left school at 16 years ,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.8463700000000001,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
25-34,Male,"Some college or university, no certificate or degree",32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
45-54,Female,Left school at 18 years ,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.8463700000000001,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
45-54,Male,Left school at 18 years ,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Male,Professional certificate/ diploma,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
65+,Female,Left school at 16 years ,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25-34,Male,University degree,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45-54,Female,Left school at 17 years,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,University degree,37.0,28.0,42.0,35.0,39.0,-0.21711999999999998,-2.07848,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,"Some college or university, no certificate or degree",28.0,34.0,31.0,32.0,25.0,-2.55524,-1.18084,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
35-44,Male,Professional certificate/ diploma,32.0,34.0,32.0,50.0,37.0,-0.21711999999999998,-0.21575,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
65+,Female,Doctorate degree,36.0,42.0,49.0,42.0,51.0,-0.21711999999999998,-0.21575,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
55-64,Female,University degree,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
